Document samples/pg2701.txt
right 157 0
lift 12 2.1131
insinuates 1 0.477121
navy 5 2.38561
originally 17 8.11106
non 3 0
nondescript 1 0.477121
balaene 1 0.477121
twelfth 1 0.477121
lifted 17 2.99355
superficial 2 0.954243
solitary 19 9.0653
sons 6 1.05655
thousand 51 8.98065
immense 16 7.63394
freebooting 1 0.477121
paltry 2 0.954243
entailed 2 0.954243
fundamental 1 0.477121
turned 66 11.622
maybe 3 1.43136
celebration 1 0.477121
banquet 4 0.704365
conceits 4 1.90849
redeemed 2 0.954243
limit 5 0.880456
indispensable 11 5.24833
sayest 2 0.954243
prison 2 0.352183
pallid 4 1.90849
oilpainting 1 0.477121
imputable 2 0.954243
mystery 9 1.58482
treble 1 0.477121
experienced 11 1.937
drop 25 4.40228
transcribe 2 0
mayhap 3 1.43136
working 15 7.15682
changeless 1 0.477121
bind 2 0.352183
preface 1 0.176091
surrounds 2 0.954243
lunging 3 1.43136
rheumatic 3 1.43136
woe 31 5.45883
scorched 6 1.05655
buoyantly 1 0.477121
land 80 0
south 29 5.10665
melville 2 0.954243
h 3 0
is 1748 0
hat 41 7.21974
david 1 0.176091
hard 84 14.7917
usage 12 2.1131
ork 1 0.477121
odd 10 4.77121
ironical 1 0.477121
sliding 10 4.77121
recrossing 1 0.477121
beaks 2 0.954243
nantucket 97 46.2808
average 3 1.43136
shadows 15 2.64137
celebrated 1 0.477121
supervision 1 0.477121
sternward 1 0.477121
corresponding 7 3.33985
throw 14 2.46528
schoolmasters 3 1.43136
war 26 0
moon 9 1.58482
workers 1 0.477121
surveillance 1 0.477121
switching 2 0.954243
livingly 2 0.954243
opposing 6 2.86273
opulent 2 0.954243
legged 3 1.43136
sore 3 0.528274
tandem 2 0.954243
mene 2 0.352183
ponderous 13 2.28919
elder 1 0.176091
dut 1 0.477121
haired 4 0.704365
chapels 1 0.477121
along 110 19.37
song 8 1.40873
eagerly 8 1.40873
let 158 27.8224
silly 5 2.38561
stabbed 1 0.477121
haunts 3 0.528274
oh 157 27.6463
rollings 1 0.477121
serpentines 1 0.477121
shepherd 2 0.352183
castaway 5 2.38561
millions 7 3.33985
disciple 1 0.477121
precede 2 0.954243
demanded 11 1.937
gain 13 2.28919
english 50 8.80456
suffused 1 0.477121
meant 14 2.46528
male 6 2.86273
trepidation 2 0.954243
cheever 2 0.954243
carpenter 51 24.3332
doggedly 1 0.477121
persians 1 0.477121
freckles 1 0.477121
dinning 1 0.477121
buttons 4 1.90849
grow 24 4.22619
placed 37 6.51538
outbranching 1 0.477121
crish 1 0.477121
order 64 11.2698
quits 1 0.477121
mattress 2 0.954243
deck 199 94.9471
matter 87 15.3199
disclaimer 3 0
thunderbolts 2 0.954243
bread 16 7.63394
hole 44 20.9933
capture 14 6.6797
glaring 2 0.954243
revolves 1 0.477121
viceroy 1 0.477121
philosopher 4 1.90849
swindle 1 0.477121
upwards 19 9.0653
paint 7 3.33985
correspondence 1 0.477121
spelling 1 0.477121
mab 2 0.954243
judging 2 0.954243
chivalrous 1 0.477121
enormousness 3 1.43136
ascertained 1 0.477121
recollect 1 0.477121
guernseyman 1 0.477121
descried 22 10.4967
appeared 10 1.76091
violently 9 4.29409
bits 9 4.29409
concubines 2 0.954243
musket 9 4.29409
happenest 1 0.477121
fireside 4 0.704365
togs 1 0.477121
saith 5 0.880456
mince 1 0.477121
thinking 28 13.3594
counterpane 8 3.81697
pagan 23 10.9738
grappled 1 0.176091
impetus 2 0.954243
roosting 1 0.477121
interfusing 1 0.477121
revenue 3 0
reappeared 2 0.954243
knee 8 3.81697
plight 5 2.38561
joint 7 3.33985
seething 2 0.352183
illustration 2 0.352183
announced 6 1.05655
chaotic 1 0.477121
spoil 4 0.704365
worse 21 3.69792
crape 1 0.477121
inlander 1 0.477121
cowhide 1 0.477121
entrenched 1 0.477121
everybody 7 3.33985
procured 2 0.954243
imperial 10 4.77121
using 17 0
talked 5 2.38561
prophet 17 8.11106
steerer 2 0.954243
perfumery 1 0.477121
cord 9 4.29409
del 2 0
observest 1 0.477121
loneliness 1 0.477121
accomplished 7 1.23264
tuileries 3 1.43136
stars 14 6.6797
restored 3 1.43136
hawthorne 1 0.477121
flock 1 0.176091
gomorrah 3 1.43136
wooded 1 0.477121
discoverer 2 0.954243
coolness 2 0.954243
gritted 2 0.954243
penning 1 0.477121
cutting 38 18.1306
picking 4 1.90849
jonas 3 1.43136
shroud 10 4.77121
partly 14 6.6797
effort 5 0
splintering 1 0.477121
discovered 11 0
independent 9 4.29409
flues 1 0.477121
frame 4 1.90849
extremest 2 0.954243
